assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_013317125.1	PRJNA224116	SAMN11960487			na		1282	1282	Staphylococcus epidermidis	strain=O47		latest	Complete Genome	Major	Full	2020/06/10	ASM1331712v1	University of Tuebingen	GCA_013317125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/317/125/GCF_013317125.1_ASM1331712v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_013317125.1/GCF_013317125.1_ASM1331712v1_genomic.gbff.gz
GCF_014334295.1	PRJNA224116	SAMN04286969			na		1282	1282	Staphylococcus epidermidis	strain=LM087		latest	Complete Genome	Major	Full	2020/08/30	ASM1433429v1	NISC - NIH Intramural Sequencing Center	GCA_014334295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/334/295/GCF_014334295.1_ASM1433429v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_014334295.1/GCF_014334295.1_ASM1433429v1_genomic.gbff.gz
GCF_014489335.1	PRJNA224116	SAMN15897741			na		1282	1282	Staphylococcus epidermidis	strain=Z0118SE0260		latest	Complete Genome	Major	Full	2020/09/06	ASM1448933v1	Jeonbuk National University	GCA_014489335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/489/335/GCF_014489335.1_ASM1448933v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_014489335.1/GCF_014489335.1_ASM1448933v1_genomic.gbff.gz
GCF_014490515.1	PRJNA224116	SAMN15950888			na		1282	1282	Staphylococcus epidermidis	strain=Z0118SE0132		latest	Complete Genome	Major	Full	2020/09/08	ASM1449051v1	Jeonbuk National University	GCA_014490515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/490/515/GCF_014490515.1_ASM1449051v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_014490515.1/GCF_014490515.1_ASM1449051v1_genomic.gbff.gz
GCF_900086615.2	PRJNA224116	SAMEA3982825			na		1282	1282	Staphylococcus epidermidis		BPH0662	latest	Complete Genome	Major	Full	2019/11/07	BPH0662	UNIVERSITY OF MELBOURNE	GCA_900086615.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/086/615/GCF_900086615.2_BPH0662	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_900086615.2/GCF_900086615.2_BPH0662_genomic.gbff.gz
GCF_900638695.1	PRJNA224116	SAMEA104318201			na		1282	1282	Staphylococcus epidermidis	strain=NCTC13924		latest	Complete Genome	Major	Full	2018/12/20	59178_A02	SC	GCA_900638695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/695/GCF_900638695.1_59178_A02	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_900638695.1/GCF_900638695.1_59178_A02_genomic.gbff.gz
GCF_902509485.1	PRJNA224116	SAMEA3712729			na		1282	1282	Staphylococcus epidermidis	strain=none	Se_BPH0697	latest	Complete Genome	Major	Full	2019/11/25	Se_BPH0697	UNIVERSITY OF MELBOURNE	GCA_902509485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/509/485/GCF_902509485.1_Se_BPH0697	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_902509485.1/GCF_902509485.1_Se_BPH0697_genomic.gbff.gz
GCF_902509495.1	PRJNA224116	SAMEA3712735			na		1282	1282	Staphylococcus epidermidis	strain=none	Se_BPH0704	latest	Complete Genome	Major	Full	2019/11/25	Se_BPH0704	UNIVERSITY OF MELBOURNE	GCA_902509495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/509/495/GCF_902509495.1_Se_BPH0704	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_902509495.1/GCF_902509495.1_Se_BPH0704_genomic.gbff.gz
GCF_902509505.1	PRJNA224116	SAMEA3712766			na		1282	1282	Staphylococcus epidermidis	strain=none	Se_BPH0736	latest	Complete Genome	Major	Full	2019/11/25	Se_BPH0736	UNIVERSITY OF MELBOURNE	GCA_902509505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/509/505/GCF_902509505.1_Se_BPH0736	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_902509505.1/GCF_902509505.1_Se_BPH0736_genomic.gbff.gz
GCF_902509515.1	PRJNA224116	SAMEA3712754			na		1282	1282	Staphylococcus epidermidis	strain=none	Se_BPH0723	latest	Complete Genome	Major	Full	2019/11/25	Se_BPH0723	UNIVERSITY OF MELBOURNE	GCA_902509515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/509/515/GCF_902509515.1_Se_BPH0723	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_902509515.1/GCF_902509515.1_Se_BPH0723_genomic.gbff.gz
GCF_902509525.1	PRJNA224116	SAMEA3712772			na		1282	1282	Staphylococcus epidermidis	strain=none	Se_RP62a-WT	latest	Complete Genome	Major	Full	2019/11/25	Se_RP62a_UoM	UNIVERSITY OF MELBOURNE	GCA_902509525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/509/525/GCF_902509525.1_Se_RP62a_UoM	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_902509525.1/GCF_902509525.1_Se_RP62a_UoM_genomic.gbff.gz
GCF_902509535.1	PRJNA224116	SAMEA3712742			na		1282	1282	Staphylococcus epidermidis	strain=none	Se_BPH0711	latest	Complete Genome	Major	Full	2019/11/25	Se_BPH0711	UNIVERSITY OF MELBOURNE	GCA_902509535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/509/535/GCF_902509535.1_Se_BPH0711	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_902509535.1/GCF_902509535.1_Se_BPH0711_genomic.gbff.gz
GCF_000009865.1	PRJNA224116	SAMD00061066			na		279808	1283	Staphylococcus haemolyticus JCSC1435	strain=JCSC1435		latest	Complete Genome	Major	Full	2005/06/30	ASM986v1	NITE	GCA_000009865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/865/GCF_000009865.1_ASM986v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000009865.1/GCF_000009865.1_ASM986v1_genomic.gbff.gz
GCF_001611955.1	PRJNA224116	SAMN04361561			representative genome		1283	1283	Staphylococcus haemolyticus	strain=S167		latest	Complete Genome	Major	Full	2016/04/06	ASM161195v1	National Institute of Agricultural Science	GCA_001611955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/611/955/GCF_001611955.1_ASM161195v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001611955.1/GCF_001611955.1_ASM161195v1_genomic.gbff.gz
GCF_002906595.1	PRJNA224116	SAMN08013134			na		1283	1283	Staphylococcus haemolyticus	strain=83131A		latest	Complete Genome	Major	Full	2018/01/30	ASM290659v1	UMCG	GCA_002906595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/906/595/GCF_002906595.1_ASM290659v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002906595.1/GCF_002906595.1_ASM290659v1_genomic.gbff.gz
GCF_002906615.1	PRJNA224116	SAMN08161435			na		1283	1283	Staphylococcus haemolyticus	strain=B		latest	Complete Genome	Major	Full	2018/01/30	ASM290661v1	UMCG	GCA_002906615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/906/615/GCF_002906615.1_ASM290661v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002906615.1/GCF_002906615.1_ASM290661v1_genomic.gbff.gz
GCF_002952715.2	PRJNA224116	SAMN08103045			na		1283	1283	Staphylococcus haemolyticus	strain=SGAir0252		latest	Complete Genome	Minor	Full	2018/02/22	ASM295271v2	Nanyang Technological University	GCA_002952715.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/715/GCF_002952715.2_ASM295271v2	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002952715.2/GCF_002952715.2_ASM295271v2_genomic.gbff.gz
GCF_003596365.3	PRJNA224116	SAMN10031556			na		1283	1283	Staphylococcus haemolyticus	strain=VB19458		latest	Complete Genome	Major	Full	2019/12/16	ASM359636v3	Christian Medical College	GCA_003596365.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/596/365/GCF_003596365.3_ASM359636v3	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_003596365.3/GCF_003596365.3_ASM359636v3_genomic.gbff.gz
GCF_003956005.1	PRJNA224116	SAMN10163211			na		1283	1283	Staphylococcus haemolyticus	strain=FDAARGOS_517		latest	Complete Genome	Major	Full	2018/12/19	ASM395600v1	US Food and Drug Administration	GCA_003956005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/956/005/GCF_003956005.1_ASM395600v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_003956005.1/GCF_003956005.1_ASM395600v1_genomic.gbff.gz
GCF_005706435.1	PRJNA224116	SAMN10838965			na		1283	1283	Staphylococcus haemolyticus	strain=PK-01		latest	Complete Genome	Major	Full	2019/05/23	ASM570643v1	National University of Sciences and Technology	GCA_005706435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/706/435/GCF_005706435.1_ASM570643v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_005706435.1/GCF_005706435.1_ASM570643v1_genomic.gbff.gz
GCF_006094395.1	PRJNA224116	SAMN10754498			na	assembly from type material	1283	1283	Staphylococcus haemolyticus	strain=ATCC 29970		latest	Complete Genome	Major	Full	2019/06/06	ASM609439v1	Zhejiang Tianke High Technology Development Co.Ltd.	GCA_006094395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/094/395/GCF_006094395.1_ASM609439v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_006094395.1/GCF_006094395.1_ASM609439v1_genomic.gbff.gz
GCF_009189185.1	PRJNA224116	SAMN10031557			na		1283	1283	Staphylococcus haemolyticus	strain=VB5326		latest	Complete Genome	Major	Full	2019/10/21	ASM918918v1	Christian Medical College	GCA_009189185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/189/185/GCF_009189185.1_ASM918918v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009189185.1/GCF_009189185.1_ASM918918v1_genomic.gbff.gz
GCF_000816085.1	PRJNA224116	SAMN02863110			representative genome	assembly from type material	1284	1284	Staphylococcus hyicus	strain=ATCC 11249		latest	Complete Genome	Major	Full	2015/01/07	ASM81608v1	University of Missouri - Columbia	GCA_000816085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/085/GCF_000816085.1_ASM81608v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000816085.1/GCF_000816085.1_ASM81608v1_genomic.gbff.gz
GCF_900474585.1	PRJNA224116	SAMEA3518014			na	assembly from type material	1284	1284	Staphylococcus hyicus	strain=NCTC10350		latest	Complete Genome	Major	Full	2018/06/18	41315_E01	SC	GCA_900474585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/474/585/GCF_900474585.1_41315_E01	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_900474585.1/GCF_900474585.1_41315_E01_genomic.gbff.gz
GCF_001559115.2	PRJNA224116	SAMN03996269			na		1286	1286	Staphylococcus simulans	strain=FDAARGOS_124		latest	Complete Genome	Minor	Full	2018/02/26	ASM155911v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_001559115.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/115/GCF_001559115.2_ASM155911v2	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_001559115.2/GCF_001559115.2_ASM155911v2_genomic.gbff.gz
GCF_002386185.1	PRJNA224116	SAMN07312427			na		1286	1286	Staphylococcus simulans	strain=FDAARGOS_383		latest	Complete Genome	Major	Full	2017/09/28	ASM238618v1	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_002386185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/386/185/GCF_002386185.1_ASM238618v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002386185.1/GCF_002386185.1_ASM238618v1_genomic.gbff.gz
GCF_003006055.1	PRJNA224116	SAMN05818722			na		1286	1286	Staphylococcus simulans	strain=MR3		latest	Complete Genome	Major	Full	2018/03/16	ASM300605v1	University of Florida	GCA_003006055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/006/055/GCF_003006055.1_ASM300605v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_003006055.1/GCF_003006055.1_ASM300605v1_genomic.gbff.gz
GCF_003006075.1	PRJNA224116	SAMN05818723			na		1286	1286	Staphylococcus simulans	strain=MR4		latest	Complete Genome	Major	Full	2018/03/16	ASM300607v1	University of Florida	GCA_003006075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/006/075/GCF_003006075.1_ASM300607v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_003006075.1/GCF_003006075.1_ASM300607v1_genomic.gbff.gz
GCF_003076375.1	PRJNA224116	SAMN05238718			na		1286	1286	Staphylococcus simulans	strain=MR2		latest	Complete Genome	Major	Full	2018/05/01	ASM307637v1	University of Florida	GCA_003076375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/076/375/GCF_003076375.1_ASM307637v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_003076375.1/GCF_003076375.1_ASM307637v1_genomic.gbff.gz
GCF_003096155.1	PRJNA224116	SAMN04968151			na		1286	1286	Staphylococcus simulans	strain=MR1		latest	Complete Genome	Major	Full	2018/05/07	ASM309615v1	University of Florida	GCA_003096155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/096/155/GCF_003096155.1_ASM309615v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_003096155.1/GCF_003096155.1_ASM309615v1_genomic.gbff.gz
GCF_900474685.1	PRJNA224116	SAMEA3504572			na	assembly from type material	1286	1286	Staphylococcus simulans	strain=NCTC11046		latest	Complete Genome	Major	Full	2018/06/18	40961_B01	SC	GCA_900474685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/474/685/GCF_900474685.1_40961_B01	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_900474685.1/GCF_900474685.1_40961_B01_genomic.gbff.gz
GCF_900636345.2	PRJNA224116	SAMEA3500277			na		1286	1286	Staphylococcus simulans	strain=NCTC7944		latest	Complete Genome	Major	Full	2018/12/20	40871_E01	SC	GCA_900636345.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/345/GCF_900636345.2_40871_E01	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_900636345.2/GCF_900636345.2_40871_E01_genomic.gbff.gz
GCF_000706685.1	PRJNA224116	SAMN02639856			na		1288	1288	Staphylococcus xylosus	strain=HKUOPL8		latest	Complete Genome	Major	Full	2014/06/13	ASM70668v1	University of Hong Kong	GCA_000706685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/706/685/GCF_000706685.1_ASM70668v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000706685.1/GCF_000706685.1_ASM70668v1_genomic.gbff.gz
GCF_000709415.1	PRJNA224116	SAMN02850631			na		1288	1288	Staphylococcus xylosus	strain=SMQ-121		latest	Complete Genome	Major	Full	2014/06/17	ASM70941v1	Universite Laval	GCA_000709415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/709/415/GCF_000709415.1_ASM70941v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000709415.1/GCF_000709415.1_ASM70941v1_genomic.gbff.gz
GCF_000953575.1	PRJNA224116	SAMEA2674919			na		1288	1288	Staphylococcus xylosus	strain=C2a		latest	Complete Genome	Major	Full	2014/09/09	Staphylococcus xylosus C2a	INRA-MIG	GCA_000953575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/575/GCF_000953575.1_Staphylococcus_xylosus_C2a	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000953575.1/GCF_000953575.1_Staphylococcus_xylosus_C2a_genomic.gbff.gz
GCF_002078255.1	PRJNA224116	SAMN04383932			representative genome		1288	1288	Staphylococcus xylosus	strain=S170		latest	Complete Genome	Major	Full	2017/04/04	ASM207825v1	National Institute of Agricultural Science	GCA_002078255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/078/255/GCF_002078255.1_ASM207825v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002078255.1/GCF_002078255.1_ASM207825v1_genomic.gbff.gz
GCF_007814625.1	PRJNA224116	SAMN09714559			na		1288	1288	Staphylococcus xylosus	strain=2		latest	Complete Genome	Major	Full	2019/08/01	ASM781462v1	Sao Paulo State University (Unesp), School of Agricultural and Veterinarian Sciences, Jaboticabal	GCA_007814625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/814/625/GCF_007814625.1_ASM781462v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_007814625.1/GCF_007814625.1_ASM781462v1_genomic.gbff.gz
GCF_014267365.1	PRJNA224116	SAMN15808047			na		1288	1288	Staphylococcus xylosus	strain=DMSX03		latest	Complete Genome	Major	Full	2020/08/23	ASM1426736v1	Dongduk Women's University	GCA_014267365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/267/365/GCF_014267365.1_ASM1426736v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_014267365.1/GCF_014267365.1_ASM1426736v1_genomic.gbff.gz
GCF_002850375.1	PRJNA224116	SAMN06678637			na		145391	1290	Staphylococcus hominis subsp. hominis	strain=K1		latest	Complete Genome	Major	Full	2018/01/03	ASM285037v1	CENTER FOR INTERDISCIPLINARY STUDIES IN SCIENCE AND TECHNOLOGY	GCA_002850375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/850/375/GCF_002850375.1_ASM285037v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_002850375.1/GCF_002850375.1_ASM285037v1_genomic.gbff.gz
GCF_003812505.1	PRJNA224116	SAMN10163251			representative genome		1290	1290	Staphylococcus hominis	strain=FDAARGOS_575		latest	Complete Genome	Major	Full	2018/11/21	ASM381250v1	US Food and Drug Administration	GCA_003812505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/505/GCF_003812505.1_ASM381250v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_003812505.1/GCF_003812505.1_ASM381250v1_genomic.gbff.gz
GCF_007814725.1	PRJNA224116	SAMN09714578			na		1290	1290	Staphylococcus hominis	strain=19A		latest	Complete Genome	Major	Full	2019/08/01	ASM781472v1	Sao Paulo State University (Unesp), School of Agricultural and Veterinarian Sciences, Jaboticabal	GCA_007814725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/814/725/GCF_007814725.1_ASM781472v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_007814725.1/GCF_007814725.1_ASM781472v1_genomic.gbff.gz
GCF_009730115.1	PRJNA224116	SAMN11056462			na		1290	1290	Staphylococcus hominis	strain=FDAARGOS_747		latest	Complete Genome	Major	Full	2019/12/05	ASM973011v1	US Food and Drug Administration	GCA_009730115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/115/GCF_009730115.1_ASM973011v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009730115.1/GCF_009730115.1_ASM973011v1_genomic.gbff.gz
GCF_009730135.1	PRJNA224116	SAMN11056461			na		1290	1290	Staphylococcus hominis	strain=FDAARGOS_746		latest	Complete Genome	Major	Full	2019/12/05	ASM973013v1	US Food and Drug Administration	GCA_009730135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/135/GCF_009730135.1_ASM973013v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009730135.1/GCF_009730135.1_ASM973013v1_genomic.gbff.gz
GCF_013267575.1	PRJNA224116	SAMN11056477			na		1290	1290	Staphylococcus hominis	strain=FDAARGOS_762		latest	Complete Genome	Major	Full	2020/06/04	ASM1326757v1	US Food and Drug Administration	GCA_013267575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/267/575/GCF_013267575.1_ASM1326757v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_013267575.1/GCF_013267575.1_ASM1326757v1_genomic.gbff.gz
GCF_003571725.1	PRJNA224116	SAMN09989479			representative genome		1292	1292	Staphylococcus warneri	strain=22.1		latest	Complete Genome	Major	Full	2018/09/16	ASM357172v1	Institute of Microbiology, Belarus National Academy of Sciences	GCA_003571725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/571/725/GCF_003571725.1_ASM357172v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_003571725.1/GCF_003571725.1_ASM357172v1_genomic.gbff.gz
GCF_003691405.1	PRJNA224116	SAMN10250190			na		1292	1292	Staphylococcus warneri	strain=SWO		latest	Complete Genome	Major	Full	2018/10/27	ASM369140v1	Chinese PLA General Hospital	GCA_003691405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/691/405/GCF_003691405.1_ASM369140v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_003691405.1/GCF_003691405.1_ASM369140v1_genomic.gbff.gz
GCF_007833855.1	PRJNA224116	SAMN10687116			na		1292	1292	Staphylococcus warneri	strain=GD01		latest	Complete Genome	Major	Full	2019/08/05	ASM783385v1	Foshan university	GCA_007833855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/833/855/GCF_007833855.1_ASM783385v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_007833855.1/GCF_007833855.1_ASM783385v1_genomic.gbff.gz
GCF_013137955.1	PRJNA224116	SAMN10970963			na		1292	1292	Staphylococcus warneri	strain=WB224		latest	Complete Genome	Major	Full	2020/05/21	ASM1313795v1	Institute of Agro-products processing Science and Technology of SAAS	GCA_013137955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/137/955/GCF_013137955.1_ASM1313795v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_013137955.1/GCF_013137955.1_ASM1313795v1_genomic.gbff.gz
GCF_013267715.1	PRJNA224116	SAMN11056469			na		1292	1292	Staphylococcus warneri	strain=FDAARGOS_754		latest	Complete Genome	Major	Full	2020/06/04	ASM1326771v1	US Food and Drug Administration	GCA_013267715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/267/715/GCF_013267715.1_ASM1326771v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_013267715.1/GCF_013267715.1_ASM1326771v1_genomic.gbff.gz
GCF_014495745.1	PRJNA224116	SAMN15946583			na		1292	1292	Staphylococcus warneri	strain=WS479		latest	Complete Genome	Major	Full	2020/09/09	ASM1449574v1	Wenzhou Medical University	GCA_014495745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/495/745/GCF_014495745.1_ASM1449574v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_014495745.1/GCF_014495745.1_ASM1449574v1_genomic.gbff.gz
GCF_900636255.1	PRJNA224116	SAMEA3505359			na		1292	1292	Staphylococcus warneri	strain=NCTC4133		latest	Complete Genome	Major	Full	2018/12/20	40295_A02	SC	GCA_900636255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/255/GCF_900636255.1_40295_A02	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_900636255.1/GCF_900636255.1_40295_A02_genomic.gbff.gz
GCF_900636265.1	PRJNA224116	SAMEA3505360			na		1292	1292	Staphylococcus warneri	strain=NCTC7291		latest	Complete Genome	Major	Full	2018/12/20	40295_B02	SC	GCA_900636265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/265/GCF_900636265.1_40295_B02	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_900636265.1/GCF_900636265.1_40295_B02_genomic.gbff.gz
GCF_900636385.1	PRJNA224116	SAMEA3539706			na	assembly from type material	1292	1292	Staphylococcus warneri	strain=NCTC11044		latest	Complete Genome	Major	Full	2018/12/20	41665_E01	SC	GCA_900636385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/385/GCF_900636385.1_41665_E01	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_900636385.1/GCF_900636385.1_41665_E01_genomic.gbff.gz
GCF_003019275.1	PRJNA224116	SAMN08712999			na	assembly from type material	1294	1294	Staphylococcus muscae	strain=ATCC 49910		latest	Complete Genome	Major	Full	2018/03/26	ASM301927v1	Illinois Institute of Technology	GCA_003019275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/275/GCF_003019275.1_ASM301927v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_003019275.1/GCF_003019275.1_ASM301927v1_genomic.gbff.gz
GCF_900187005.1	PRJNA224116	SAMEA4412661			representative genome	assembly from type material	1294	1294	Staphylococcus muscae	strain=NCTC13833		latest	Complete Genome	Major	Full	2017/08/15	50569_B01	SC	GCA_900187005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/187/005/GCF_900187005.1_50569_B01	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_900187005.1/GCF_900187005.1_50569_B01_genomic.gbff.gz
